,name,M_total_count,M_total_count_likes,recommend_all,MSK,SPB,KRD,KZN,BASHK,NVSB,SAMARA,Vk,Fb,Tw,Yt,Inst
0,Король и Шут,1 386 584,55 616,1 503 141,391118,159117,59230,29297,26724,29610,24821,True,True,True,True,False
1,Artik & Asti,1 960 972,131 515,4 227 855,489127,182530,105835,50039,42793,48915,38154,True,True,True,True,True
2,Zivert,2 064 561,117 641,3 022 289,542476,201002,110813,51014,43499,49173,38154,True,False,False,True,True
3,JONY,1 796 037,106 453,1 831 271,424884,158263,91928,48145,39665,38602,33248,True,False,False,False,True
4,Баста,1 624 270,97 530,4 590 738,394303,149826,76974,35365,29293,32561,25198,True,True,True,True,True
5,Руки Вверх!,1 714 807,89 340,3 249 326,422445,158095,77709,43328,37341,39682,33481,True,True,True,True,True
6,КИНО,1 187 381,76 778,3 031 065,324043,130615,50291,24896,22690,23939,18904,True,True,False,True,True
7,HammAli & Navai,1 644 297,90 987,2 894 777,377435,139867,84128,39495,31733,37525,28766,True,False,False,False,False
8,Би-2,1 285 738,68 906,2 945 508,347686,139609,55191,26921,24047,27741,21021,True,True,True,True,True
9,NILETTO,1 755 181,80 846,1 105 295,450491,172178,84401,45025,38427,42439,32562,True,False,False,True,True
10,Miyagi & Andy Panda,1 300 459,108 037,941 711,282357,109822,64594,35217,29117,27666,24222,True,False,False,False,True
11,Мари Краймбрери,1 138 659,73 672,1 733 608,279322,107233,62077,27674,23604,29894,21363,True,True,False,True,True
12,Rammstein,722 191,46 044,1 158 399,192319,80502,27696,12610,11269,14698,10642,False,True,True,True,True
13,Linkin Park,1 097 566,60 135,2 149 391,287800,119784,43337,21960,18432,22430,17137,True,True,True,True,True
14,Сплин,1 077 727,54 162,2 519 443,302873,125344,46192,21746,19487,23019,17490,True,True,True,True,True
15,Клава Кока,1 774 045,62 648,1 112 124,445537,170326,81604,44741,37569,42335,33774,True,True,True,True,True
16,Земфира,1 013 895,52 969,1 857 571,286090,114803,44481,20417,18362,21319,15877,True,True,False,True,True
17,Imagine Dragons,1 416 538,64 601,2 530 529,376554,149751,59046,29075,23813,29556,21029,False,True,True,True,True
18,Макс Корж,817 166,91 098,4 053 102,195860,83856,33016,21444,17176,17488,14696,True,True,True,True,True
19,NЮ,1 022 719,27 302,299 999,237237,94338,48890,23328,19979,25721,18441,True,True,False,True,True
20,twenty one pilots,958 460,22 428,1 010 210,228034,97671,31848,18198,14135,17757,12560,False,True,True,True,True
21,Queen,1 075 484,59 377,2 704 577,305647,119453,44048,18919,15758,20938,14452,False,True,True,True,True
22,LOBODA,1 142 609,86 970,4 191 203,281348,104927,60768,23081,19948,28010,18909,True,True,True,True,True
23,Dabro,1 487 010,45 859,719 796,357926,135978,66979,36787,30750,33465,25883,True,False,False,True,True
24,Ramil',1 475 288,56 425,560 500,342184,130135,74761,38495,32398,34988,27912,True,True,False,False,True
25,Макс Барских,1 264 182,54 716,3 103 172,311395,116893,66178,26790,22856,29776,20577,True,True,True,True,True
26,Måneskin,549 531,14 548,16 603,129316,55637,16905,10352,7058,10141,7775,False,True,True,True,True
27,Jah Khalib,975 209,64 926,3 363 541,210845,76343,47651,23580,19143,18584,15582,True,True,True,True,True
28,Мот,1 207 508,21 668,2 674 546,288393,104982,57834,28780,22539,24746,19537,True,True,True,False,True
29,Filatov & Karas,1 600 933,56 858,1 231 686,387893,144109,76537,35501,30011,35127,26159,True,True,True,False,True
30,Noize MC,658 621,39 958,1 863 712,181473,81917,22507,14583,11579,13274,11176,True,True,True,True,True
